vehicle_brand,year,engine_capacity,miles_driven,selling_price,pin_code
Mercedes-Benz,2016,6.3,1,222000,48067
Mercedes-Benz,2016,5.5,1,177000,70072
Mercedes-Benz,2016,5.5,1,177777,32793
Mercedes-Benz,2016,5.5,1,199999,22903
Mercedes-Benz,2016,5.5,1,199999,95350
Mercedes-Benz,2016,5.5,1,199999,95825
Mercedes-Benz,2016,5.5,1,199999,48073
Mercedes-Benz,2016,4.7,1,185555,10023
Mercedes-Benz,2016,4.7,1,187555,14607
Mercedes-Benz,2016,4.7,1,189999,55421
Mercedes-Benz,2016,4.67,1,129999,61820
Mercedes-Benz,2016,4.6,1,154999,24502
Toyota,2016,4.5,1,99999,98052
Toyota,2016,4.5,1,99999,94305
Toyota,2016,4.5,1,99999,92107
Toyota,2016,4.5,1,100000,77084
Toyota,2016,4.5,1,102999,96931
Toyota,2016,4.5,1,103999,56723
Toyota,2016,4.5,1,103999,30303
Toyota,2016,4.5,1,195000,55413
Toyota,2016,4.5,1,195000,98105
BMW,2016,4.4,1,139000,49327
Mercedes-Benz,2016,4,1,124000,60640
Mercedes-Benz,2016,3.5,1,109000,2476
Volkswagen,2016,3,1,66346,85749
Volkswagen,2016,3,1,67622.5485,98201
Volkswagen,2016,3,1,71138,78028
Volkswagen,2016,3,1,72000,19390
Audi,2016,3,1,80999,20871
Audi,2016,3,1,81500,926
BMW,2016,3,1,86999,63129
BMW,2016,3,1,86999,92028
Audi,2016,3,1,92222,27106
Mercedes-Benz,2016,3,1,99000,67208
Mercedes-Benz,2016,3,1,99000,6520
Mercedes-Benz,2016,3,1,99999,21202
BMW,2016,3,1,99999,45409
Mercedes-Benz,2016,3,1,103333,10954
Mercedes-Benz,2016,3,1,107777,98144
Mercedes-Benz,2016,3,1,107999,85013
Mercedes-Benz,2016,3,1,109999,7470
Mercedes-Benz,2016,3,1,110000,92802
Mercedes-Benz,2016,3,1,111999,55439
Mercedes-Benz,2016,3,1,111999,95123
Mercedes-Benz,2016,3,1,114999,53705
Mercedes-Benz,2016,3,1,124000,1603
Mercedes-Benz,2016,3,1,124999,55125
Mercedes-Benz,2016,3,1,138000,4915
Mercedes-Benz,2016,3,1,159999,10977
Mercedes-Benz,2016,3,1,173333,10458
Mercedes-Benz,2016,2.99,1,99999,94587
Mercedes-Benz,2016,2.99,1,114999,53706
Audi,2016,2.98,1,81999,20194
Mercedes-Benz,2016,2.98,1,105999,55432
Mercedes-Benz,2016,2.98,1,107999,52761
Mercedes-Benz,2016,2.98,1,109999,14850
Mercedes-Benz,2016,2.98,1,109999,11215
Toyota,2016,2.8,1,43999,90291
Toyota,2016,2.5,1,25749.75,43210
Toyota,2016,2.5,1,28787.85,55455
Toyota,2016,2.5,1,41900,98153
BMW,2016,2.5,1,65000,55126
BMW,2016,2.5,1,69999,53706
Mercedes-Benz,2016,2.5,1,97555,66046
Mitsubishi,2016,2.4,1,33000,60615
Mitsubishi,2016,2.4,1,36000,75801
Toyota,2016,2.4,1,38233,20755
Mitsubishi,2016,2.4,1,40800,55116
Mitsubishi,2016,2.4,1,40990,75229
Mitsubishi,2016,2.4,1,46000,55414
Mercedes-Benz,2016,2.2,1,47600,80302
Mercedes-Benz,2016,2.2,1,47600,94117
Mercedes-Benz,2016,2.2,1,47600,94109
Mercedes-Benz,2016,2.2,1,47600,94706
Mercedes-Benz,2016,2.2,1,58999,55110
Mercedes-Benz,2016,2.2,1,62999,19406
Mercedes-Benz,2016,2.2,1,69999,55337-4056
Mercedes-Benz,2016,2.2,1,70999,43147
Mercedes-Benz,2016,2.2,1,71999,80203
Mercedes-Benz,2016,2.2,1,71999,97211
Mercedes-Benz,2016,2.2,1,87777,97370
Mercedes-Benz,2016,2.2,1,102800,78664
Mercedes-Benz,2016,2.2,1,107000,61820
Mercedes-Benz,2016,2.2,1,109999,53051
Mitsubishi,2016,2,1,25000,90027
Mitsubishi,2016,2,1,28500,10025
